NFE Field (Column C)	Snowflake Feature Match (Column F)	Match Type
network	debit_network_id	Partial
addr_ver_result	avs_code	Partial
alt_exp_date	expiry_date	Partial
alt_pan_token	token_requestor_id	Partial
card_hldr_addr	avs_address_indicator	Partial
card_hldr_zip	zip_code_resp_info	Partial
fdms_merchant_id	merchant_number	Partial
participation_flag	merchant_participation_flag	Partial
platform	device_type_ind	Partial
proc_code	processing_code	Partial
tpp_id	visa_tpp_id	Partial
visa_cred_onfile	credential_on_file	Partial
vpas_resp_value	visa_risk_score	Partial
cavv	cavv_ucaf_authenticationdata	Partial
cvv	cvv_response_code	Partial
cvv2_resp_value	security_code_result	Partial
market_spec_ind	market_specific_auth_ind	Partial
mc_citmlt_ind	cardholder_activated_ind	Partial
merchant_label	merchant_name	Partial
pos_cardholder_present	cardholder_present_ind	Partial
pos_entry_mode	emv_pos_entry_mode	Exact
pos_environment	pos_terminal_presence	Partial
realtime_acct_lookup_completed	account_status_ind	Partial
request_type	request_type	Exact
schedule	processing_date	Partial
sic	merchant_category_code	Partial
tavv	terminal_verification_result	Partial
tavv_resp_code	terminal_response_code	Partial
term_id	terminal_id	Exact
token_auth_ind	token_authentication_verification_result	Partial
track_data	track2_data	Partial
tran_curr	transaction_currency_code	Partial
trans_id	trans_id	Exact
transaction	transaction_type	Partial
transaction_id	incremental_trace_id	Partial
card_type	card_type	Exact
pan_file_maintenance	pan_maintenance_code	Partial
pos_cond_code	pos_condition_code	Exact
adi_ind	adi_indicator	Partial
assoc_resp_code	association_response_code	Partial
auth_cap_flag	auth_capture_flag	Partial
banknet_ref_num	banknet_reference_number	Partial
card_type_ind	card_product_id	Partial
exp_date	expiration_date	Partial
issuer_bank_name	issuer_name	Partial
issuer_country	issuer_country_code	Partial
merch_country	merchant_country_code	Partial
merchant_city	merchant_city	Exact
moto_eci	moto_indicator	Partial
primary_account	primary_account_number	Partial
systrace	system_trace_audit_number	Partial
trans_amt	offer_amt	Partial
